
===================================================================================
  B887 NR5G MAC PDSCH — Parsed Records
===================================================================================
   Pkt   Rec   Ver   Slot   Frame      SCS   CID   TB Size   MCS   Num RBs   HARQ    K1
    92     0     2     12     199      mu7     0       111    13         1      2    12
    92     1     2     13     199      mu7   129      1441    13        41      3    11
    92     2     2     16     199      mu7   129      2754    17        17      4     8
    93     0     2      6     200    15kHz     0       153    16         1      5     8
    94     0     2      0     202    60kHz     0        28     3         1      6     5
    95     0     2      6     202    60kHz     0       101    11         1      7     8
    95     1     2     13     202    60kHz   129       209    15         5      8    11
    96     0     2     10     206      mu6     0        28     3         1      9     5
    97     0     2      7     209    30kHz     0       672    17         5     10     7
    97     1     2      8     209    30kHz   129        88    14         1     11     7
    98     0     2     10     210    60kHz     0        26     3         1     12     5
    99     0     2     12     213      mu5     0       101    12         1     13    12
   100     0     2      0     355   120kHz     0        28     3         1     14     5
   101     0     2      7     641    30kHz     0         9     7         3      0     1
   102     0     2      6     673    30kHz     0       157     4         4     15     8
   103     0     2      0     675   120kHz     0        28     3         1      0     5
   104     0     2      6     705    30kHz     0       253     6         4      1     8
   105     0     2     19     705    30kHz     0       253    29         3      1     6
   106     0     2     10     708      mu4     0        28     3         1      2     5
   107     0     2     18     801    30kHz     0        96    20         1      3     6
   108     0     2      0     867   120kHz     0        28     3         1      4     5
   109     0     2      7       1    30kHz     0        11     7         3      0     1
   110     0     2      6     177    30kHz     0       253     6         4      5     8
   111     0     2      0     179   120kHz     0        28     3         1      6     5
   112     0     2     10     184    15kHz     0        28     3         1      7     5
   113     0     2      7     257    30kHz     0        21     7         7      0     1
   114     0     2     10     339   120kHz     0        28     3         1      8     5
   115     0     2     18     339   120kHz     0       111    12         1      9     7
   116     0     2      7     340      mu4     0       111    12         1     10     7
   117     0     2     10     341      mu5     0        28     3         1     11     5
   118     0     2     18     342      mu6     0       123    24         1     12     6
   119     0     2      9     343      mu7     0        32     3         1     13     6
   120     0     2      3     347   120kHz     0       169    20         3     14    11
   121     0     2      7     347   120kHz     0       101    10         1     15     7
   122     0     2     18     347   120kHz     0       129    13         1      0     7
   122     1     2     19     347   120kHz   129        92    10         1      1     6
   123     0     2     10     348      mu4     0        28     3         1      2     5
   124     0     2      8     349      mu5     0       101    11         1      3     7
   125     0     2      1     350      mu6     0        28     3         1      4     4
   126     0     2      8     351      mu7     0       101    10         1      5     7
   126     1     2     11     351      mu7   129        28     3         1      6     4
   127     0     2     10     354    60kHz     0        26     3         1      7     5
   128     0     2      7     513    30kHz     0         9     7         3      0     1
   129     0     2      7     641    30kHz     0         9     7         3      0     1
   130     0     2      0     867   120kHz     0        28     3         1      8     5
   131     0     2     10     878      mu6     0        28     3         1      9     5
   132     0     2     10     881    30kHz     0       111    12         1     10     5
   133     0     2      7     897    30kHz     0         9     7         3      0     1
   134     0     2      7     129    30kHz     0         9     7         3      0     1
   135     0     2      0     355   120kHz     0        28     3         1     11     5
   136     0     2      7     641    30kHz     0        11     7         3      0     1
   137     0     2      0     845      mu5     0        28     3         1     12     5
   138     0     2     13     847      mu7     0        84    15         2     13    11
   139     0     2      0     849    30kHz     0        28     3         1     14     5
   140     0     2     10     866    60kHz     0        26     3         1     15     5
   141     0     2      7     129    30kHz     0        11     7         3      0     1
   142     0     2     19     193    30kHz     0       141     7         2      0     6
   143     0     2     16     202    60kHz     0       469    10         5      1     8
   144     0     2      0     203   120kHz     0        28     3         1      2     5
   145     0     2      7     203   120kHz     0       233     8         3      3     7
   146     0     2      9     209    30kHz     0       129     8         2      4     6
   146     1     2     11     209    30kHz   129      1313    14        10      5     4
   146     2     2     13     209    30kHz   129      3009     9       120      6    11
   147     0     2     10     211   120kHz     0        28     3         1      7     5
