
===================================================================================
  B887 NR5G MAC PDSCH — Parsed Records
===================================================================================
   Pkt   Rec   Ver   Slot   Frame      SCS   CID   TB Size   MCS   Num RBs   HARQ    K1
    97     1     3      —       —        —     —     67208     6       502      0    10
    98     0     3      —       —        —     —        26     3         1     12     5
    99     0     3      —       —        —     —       101    12         1     13    12
   100     0     3      —       —        —     —        28     3         1     14     5
   101     0     3      —       —        —     —         9     7         3      0     1
   102     0     3      —       —        —     —       157     4         4     15     8
   103     0     3      —       —        —     —        28     3         1      0     5
   104     0     3      —       —        —     —       253     6         4      1     8
   105     0     3      —       —        —     —       253    29         3      1     6
   106     0     3      —       —        —     —        28     3         1      2     5
   107     0     3      —       —        —     —        96    20         1      3     6
   108     0     3      —       —        —     —        28     3         1      4     5
   109     0     3      —       —        —     —        11     7         3      0     1
   110     0     3      —       —        —     —       253     6         4      5     8
   111     0     3      —       —        —     —        28     3         1      6     5
   112     0     3      —       —        —     —        28     3         1      7     5
   113     0     3      —       —        —     —        21     7         7      0     1
   114     0     3      —       —        —     —        28     3         1      8     5
   115     0     3      —       —        —     —       111    12         1      9     7
   116     0     3      —       —        —     —       111    12         1     10     7
   117     0     3      —       —        —     —        28     3         1     11     5
   118     0     3      —       —        —     —       123    24         1     12     6
   119     0     3      —       —        —     —        32     3         1     13     6
   120     0     3      —       —        —     —       169    20         3     14    11
   121     0     3      —       —        —     —       101    10         1     15     7
   122     0     3      —       —        —     —       129    13         1      0     7
   122     1     3      —       —        —     —     27352     6       502      0    10
   123     0     3      —       —        —     —        28     3         1      2     5
   124     0     3      —       —        —     —       101    11         1      3     7
   125     0     3      —       —        —     —        28     3         1      4     4
   126     0     3      —       —        —     —       101    10         1      5     7
   126     1     3      —       —        —     —     92920     6       502      0    10
   127     0     3      —       —        —     —        26     3         1      7     5
   128     0     3      —       —        —     —         9     7         3      0     1
   129     0     3      —       —        —     —         9     7         3      0     1
   130     0     3      —       —        —     —        28     3         1      8     5
   131     0     3      —       —        —     —        28     3         1      9     5
   132     0     3      —       —        —     —       111    12         1     10     5
   133     0     3      —       —        —     —         9     7         3      0     1
   134     0     3      —       —        —     —         9     7         3      0     1
   135     0     3      —       —        —     —        28     3         1     11     5
   136     0     3      —       —        —     —        11     7         3      0     1
   137     0     3      —       —        —     —        28     3         1     12     5
   138     0     3      —       —        —     —        84    15         2     13    11
   139     0     3      —       —        —     —        28     3         1     14     5
   140     0     3      —       —        —     —        26     3         1     15     5
   141     0     3      —       —        —     —        11     7         3      0     1
   142     0     3      —       —        —     —       141     7         2      0     6
   143     0     3      —       —        —     —       469    10         5      1     8
   144     0     3      —       —        —     —        28     3         1      2     5
   145     0     3      —       —        —     —       233     8         3      3     7
   146     0     3      —       —        —     —       129     8         2      4     6
   146     1     3      —       —        —     —     91784     6       502      0    10
   146     2     3      —       —        —     —     34824     0       257      0    10
   147     0     3      —       —        —     —        28     3         1      7     5
   148     0     3      —       —        —     —       301    11         3      8     6
   149     0     3      —       —        —     —        28     3         1      9     4
   150     0     3      —       —        —     —        11     7         3      0     1
   151     0     3      —       —        —     —        26     3         1     10    12
   152     0     3      —       —        —     —       111    12         1     11     5
   153     0     3      —       —        —     —        28     3         1     12     5
   154     0     3      —       —        —     —       165    17         1     13     4
   155     0     3      —       —        —     —        92    10         1     14     8
   156     0     3      —       —        —     —        32     3         1     15     5
   157     0     3      —       —        —     —       101    11         1      0     6
   158     0     3      —       —        —     —        26     3         1      1     5
   159     0     3      —       —        —     —        15     7         4      0     1
   160     0     3      —       —        —     —        11     7         3      0     1
   161     0     3      —       —        —     —        28     3         1      2     5
   162     0     3      —       —        —     —         9     7         3      0     1
   163     0     3      —       —        —     —        11     7         3      0     1
   164     0     3      —       —        —     —        30     0         4      3     8
   165     0     3      —       —        —     —        15     7         4      0     1
   165     1     3      —       —        —     —     60808     1       502      0    10
   166     0     3      —       —        —     —        15     7         5      0     1

  Total records : 196
  Version 3     : 196 record(s), MCS in [0, 1, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 29, 30, 31]
  Overall MCS   : min=0, max=31, avg=7.99
===================================================================================

