
=======================================================================
  B881 NR5G MAC UL TB Stats — Parsed Records
=======================================================================
  Pkt   Ver    Delta Tx (Bytes)   Cumul Tx        ReTx      
  137   3.1    0                  1119333027      94803055  
  138   3.1    0                  1119333027      94803055  
  139   3.1    0                  1119333027      94803055  
  140   3.1    349                1119333376      94803055  
  141   3.1    0                  1119333376      94803055  
  142   3.1    0                  1119333376      94803055  
  143   3.1    0                  1119333376      94803055  
  144   3.1    0                  1119333376      94803055  
  145   3.1    0                  1119333376      94803055  
  146   3.1    0                  1119333376      94803055  
  147   3.1    309                1119333685      94803055  
  148   3.1    0                  1119333685      94803055  
  149   3.1    0                  1119333685      94803055  
  150   3.1    0                  1119333685      94803055  
  151   3.1    0                  1119333685      94803055  
  152   3.1    301                1119333986      94803055  
  153   3.1    0                  1119333986      94803055  
  154   3.1    349                1119334335      94803055  
  155   3.1    0                  1119334335      94803055  
  156   3.1    0                  1119334335      94803055  
  157   3.1    0                  1119334335      94803055  
  158   3.1    0                  1119334335      94803055  
  159   3.1    0                  1119334335      94803055  
  160   3.1    349                1119334684      94803055  
  161   3.1    285                1119334969      94803055  
  162   3.1    0                  1119334969      94803055  
  163   3.1    0                  1119334969      94803055  
  164   3.1    0                  1119334969      94803055  
  165   3.1    0                  1119334969      94803055  
  166   3.1    0                  1119334969      94803055  
  167   3.1    0                  1119334969      94803055  
  168   3.1    570                1119335539      94803055  
  169   3.1    0                  1119335539      94803055  
  170   3.1    0                  1119335539      94803055  
  171   3.1    0                  1119335539      94803055  
  172   3.1    0                  1119335539      94803055  
  173   3.1    0                  1119335539      94803055  
  174   3.1    0                  1119335539      94803055  
  175   3.1    0                  1119335539      94803055  
  176   3.1    0                  1119335539      94803055  
  177   3.1    0                  1119335539      94803055  
  178   3.1    0                  1119335539      94803055  
  179   3.1    0                  1119335539      94803055  
  180   3.1    0                  1119335539      94803055  
  181   3.1    0                  1119335539      94803055  
  182   3.1    0                  1119335539      94803055  
  183   3.1    0                  1119335539      94803055  
  184   3.1    0                  1119335539      94803055  
  185   3.1    0                  1119335539      94803055  
  186   3.1    0                  1119335539      94803055  
  187   3.1    0                  1119335539      94803055  
  188   3.1    0                  1119335539      94803055  
  189   3.1    0                  1119335539      94803055  
  190   3.1    0                  1119335539      94803055  
  191   3.1    0                  1119335539      94803055  
  192   3.1    0                  1119335539      94803055  
  193   3.1    0                  1119335539      94803055  
  194   3.1    0                  1119335539      94803055  
  195   3.1    0                  1119335539      94803055  
  196   3.1    0                  1119335539      94803055  
  197   3.1    0                  1119335539      94803055  
  198   3.1    0                  1119335539      94803055  
  199   3.1    0                  1119335539      94803055  
  200   3.1    325                1119335864      94803055  
  201   3.1    0                  1119335864      94803055  
  202   3.1    0                  1119335864      94803055  
  203   3.1    0                  1119335864      94803055  
  204   3.1    0                  1119335864      94803055  
  205   3.1    0                  1119335864      94803055  
  206   3.1    0                  1119335864      94803055  
  207   3.1    0                  1119335864      94803055  
  208   3.1    0                  1119335864      94803055  
  209   3.1    0                  1119335864      94803055  
  210   3.1    0                  1119335864      94803055  
  211   3.1    0                  1119335864      94803055  
  212   3.1    0                  1119335864      94803055  
  213   3.1    0                  1119335864      94803055  
  214   3.1    0                  1119335864      94803055  
  215   3.1    0                  1119335864      94803055  
  216   3.1    0                  1119335864      94803055  
  217   3.1    0                  1119335864      94803055  
  218   3.1    0                  1119335864      94803055  
  219   3.1    0                  1119335864      94803055  
  220   3.1    0                  1119335864      94803055  
  221   3.1    0                  1119335864      94803055  
  222   3.1    0                  1119335864      94803055  
  223   3.1    0                  1119335864      94803055  
  224   3.1    0                  1119335864      94803055  
  225   3.1    0                  1119335864      94803055  
  226   3.1    0                  1119335864      94803055  
  227   3.1    0                  1119335864      94803055  
  228   3.1    0                  1119335864      94803055  
  229   3.1    0                  1119335864      94803055  
  230   3.1    0                  1119335864      94803055  
  231   3.1    0                  1119335864      94803055  
  232   3.1    0                  1119335864      94803055  
  233   3.1    301                1119336165      94803055  
  234   3.1    0                  1119336165      94803055  
  235   3.1    0                  1119336165      94803055  
  236   3.1    349                1119336514      94803055  
  237   3.1    0                  1119336514      94803055  
  238   3.1    0                  1119336514      94803055  
  239   3.1    0                  1119336514      94803055  
  240   3.1    0                  1119336514      94803055  
  241   3.1    349                1119336863      94803055  
  242   3.1    0                  1119336863      94803055  
  243   3.1    0                  1119336863      94803055  
  244   3.1    0                  1119336863      94803055  
  245   3.1    0                  1119336863      94803055  
  246   3.1    0                  1119336863      94803055  
  247   3.1    0                  1119336863      94803055  
  248   3.1    0                  1119336863      94803055  
  249   3.1    0                  1119336863      94803055  
  250   3.1    0                  1119336863      94803055  
  251   3.1    0                  1119336863      94803055  
  252   3.1    0                  1119336863      94803055  
  253   3.1    0                  1119336863      94803055  
  254   3.1    0                  1119336863      94803055  
  255   3.1    0                  1119336863      94803055  
  256   3.1    0                  1119336863      94803055  
  257   3.1    0                  1119336863      94803055  
  258   3.1    0                  1119336863      94803055  
  259   3.1    0                  1119336863      94803055  
  260   3.1    0                  1119336863      94803055  
  261   3.1    0                  1119336863      94803055  
  262   3.1    0                  1119336863      94803055  
  263   3.1    0                  1119336863      94803055  
  264   3.1    0                  1119336863      94803055  
  265   3.1    0                  1119336863      94803055  
  266   3.1    0                  1119336863      94803055  
  267   3.1    0                  1119336863      94803055  
  268   3.1    0                  1119336863      94803055  
  269   3.1    0                  1119336863      94803055  
  270   3.1    0                  1119336863      94803055  
  271   3.1    0                  1119336863      94803055  
  272   3.1    0                  1119336863      94803055  
  273   3.1    0                  1119336863      94803055  
  274   3.1    0                  1119336863      94803055  
  275   3.1    0                  1119336863      94803055  
  276   3.1    0                  1119336863      94803055  
  277   3.1    0                  1119336863      94803055  
  278   3.1    0                  1119336863      94803055  
  279   3.1    0                  1119336863      94803055  
  280   3.1    0                  1119336863      94803055  
  281   3.1    301                1119337164      94803055  
  282   3.1    0                  1119337164      94803055  
  283   3.1    349                1119337513      94803055  
  284   3.1    0                  1119337513      94803055  
  285   3.1    0                  1119337513      94803055  
  286   3.1    0                  1119337513      94803055  
  287   3.1    0                  1119337513      94803055  
  288   3.1    0                  1119337513      94803055  
  289   3.1    0                  1119337513      94803055  
  290   3.1    0                  1119337513      94803055  
  291   3.1    0                  1119337513      94803055  
  292   3.1    0                  1119337513      94803055  
  293   3.1    0                  1119337513      94803055  
  294   3.1    0                  1119337513      94803055  
  295   3.1    0                  1119337513      94803055  
  296   3.1    0                  1119337513      94803055  
  297   3.1    0                  1119337513      94803055  
  298   3.1    0                  1119337513      94803055  
  299   3.1    0                  1119337513      94803055  
  300   3.1    0                  1119337513      94803055  
  301   3.1    0                  1119337513      94803055  
  302   3.1    0                  1119337513      94803055  
  303   3.1    0                  1119337513      94803055  
  304   3.1    0                  1119337513      94803055  
  305   3.1    0                  1119337513      94803055  
  306   3.1    0                  1119337513      94803055  
  307   3.1    0                  1119337513      94803055  
  308   3.1    0                  1119337513      94803055  
  309   3.1    0                  1119337513      94803055  
  310   3.1    0                  1119337513      94803055  
  311   3.1    0                  1119337513      94803055  
  312   3.1    349                1119337862      94803055  
  313   3.1    0                  1119337862      94803055  
  314   3.1    0                  1119337862      94803055  
  315   3.1    301                1119338163      94803055  
  316   3.1    0                  1119338163      94803055  
  317   3.1    0                  1119338163      94803055  
  318   3.1    301                1119338464      94803055  
  319   3.1    0                  1119338464      94803055  
  320   3.1    0                  1119338464      94803055  
  321   3.1    349                1119338813      94803055  
  322   3.1    0                  1119338813      94803055  
  323   3.1    0                  1119338813      94803055  
  324   3.1    698                1119339511      94803055  
  325   3.1    0                  1119339511      94803055  
  326   3.1    0                  1119339511      94803055  
  327   3.1    0                  1119339511      94803055  
  328   3.1    309                1119339820      94803055  
  329   3.1    0                  1119339820      94803055  
  330   3.1    0                  1119339820      94803055  
  331   3.1    309                1119340129      94803055  
  332   3.1    0                  1119340129      94803055  
  333   3.1    0                  1119340129      94803055  
  334   3.1    309                1119340438      94803055  
  335   3.1    0                  1119340438      94803055  
  336   3.1    0                  1119340438      94803055  
  337   3.1    309                1119340747      94803055  
  338   3.1    0                  1119340747      94803055  
  339   3.1    0                  1119340747      94803055  
  340   3.1    309                1119341056      94803055  
  341   3.1    0                  1119341056      94803055  
  342   3.1    0                  1119341056      94803055  
  343   3.1    0                  1119341056      94803055  
  344   3.1    309                1119341365      94803055  
  345   3.1    0                  1119341365      94803055  
  346   3.1    0                  1119341365      94803055  
  347   3.1    0                  1119341365      94803055  
  348   3.1    309                1119341674      94803055  
  349   3.1    0                  1119341674      94803055  
  350   3.1    0                  1119341674      94803055  
  351   3.1    0                  1119341674      94803055  
  352   3.1    0                  1119341674      94803055  
  353   3.1    0                  1119341674      94803055  
  354   3.1    0                  1119341674      94803055  
  355   3.1    0                  1119341674      94803055  
  356   3.1    0                  1119341674      94803055  
  357   3.1    0                  1119341674      94803055  
  358   3.1    0                  1119341674      94803055  
  359   3.1    0                  1119341674      94803055  
  360   3.1    0                  1119341674      94803055  
  361   3.1    0                  1119341674      94803055  
  362   3.1    0                  1119341674      94803055  
  363   3.1    0                  1119341674      94803055  
  364   3.1    0                  1119341674      94803055  
  365   3.1    0                  1119341674      94803055  
  366   3.1    0                  1119341674      94803055  
  367   3.1    0                  1119341674      94803055  
  368   3.1    0                  1119341674      94803055  
  369   3.1    0                  1119341674      94803055  
  370   3.1    0                  1119341674      94803055  
  371   3.1    0                  1119341674      94803055  
  372   3.1    0                  1119341674      94803055  
  373   3.1    0                  1119341674      94803055  
  374   3.1    0                  1119341674      94803055  
  375   3.1    0                  1119341674      94803055  
  376   3.1    0                  1119341674      94803055  
  377   3.1    0                  1119341674      94803055  
  378   3.1    0                  1119341674      94803055  
  379   3.1    0                  1119341674      94803055  
  380   3.1    0                  1119341674      94803055  
  381   3.1    0                  1119341674      94803055  
  382   3.1    0                  1119341674      94803055  
  383   3.1    0                  1119341674      94803055  
  384   3.1    0                  1119341674      94803055  
  385   3.1    325                1119341999      94803055  
  386   3.1    0                  1119341999      94803055  
  387   3.1    0                  1119341999      94803055  
  388   3.1    325                1119342324      94803055  
  389   3.1    0                  1119342324      94803055  
  390   3.1    0                  1119342324      94803055  
  391   3.1    0                  1119342324      94803055  
  392   3.1    0                  1119342324      94803055  
  393   3.1    325                1119342649      94803055  
  394   3.1    0                  1119342649      94803055  
  395   3.1    0                  1119342649      94803055  
  396   3.1    0                  1119342649      94803055  
  397   3.1    0                  1119342649      94803055  
  398   3.1    0                  1119342649      94803055  
  399   3.1    0                  1119342649      94803055  
  400   3.1    0                  1119342649      94803055  
  401   3.1    0                  1119342649      94803055  
  402   3.1    0                  1119342649      94803055  
  403   3.1    0                  1119342649      94803055  
  404   3.1    0                  1119342649      94803055  
  405   3.1    0                  1119342649      94803055  
  406   3.1    0                  1119342649      94803055  
  407   3.1    0                  1119342649      94803055  
  408   3.1    0                  1119342649      94803055  
  409   3.1    0                  1119342649      94803055  
  410   3.1    0                  1119342649      94803055  
  411   3.1    0                  1119342649      94803055  
  412   3.1    0                  1119342649      94803055  
  413   3.1    0                  1119342649      94803055  
  414   3.1    0                  1119342649      94803055  
  415   3.1    0                  1119342649      94803055  
  416   3.1    0                  1119342649      94803055  
  417   3.1    0                  1119342649      94803055  
  418   3.1    0                  1119342649      94803055  
  419   3.1    0                  1119342649      94803055  
  420   3.1    0                  1119342649      94803055  
  421   3.1    0                  1119342649      94803055  
  422   3.1    0                  1119342649      94803055  
  423   3.1    309                1119342958      94803055  
  424   3.1    0                  1119342958      94803364  
  425   3.1    0                  1119342958      94803364  
  426   3.1    0                  1119342958      94803364  
  427   3.1    0                  1119342958      94803364  
  428   3.1    0                  1119342958      94803364  
  429   3.1    0                  1119342958      94803364  
  430   3.1    0                  1119342958      94803364  
  431   3.1    0                  1119342958      94803364  
  432   3.1    0                  1119342958      94803364  
  433   3.1    0                  1119342958      94803364  
  434   3.1    0                  1119342958      94803364  
  435   3.1    0                  1119342958      94803364  
  436   3.1    0                  1119342958      94803364  
  437   3.1    0                  1119342958      94803364  
  438   3.1    0                  1119342958      94803364  
  439   3.1    0                  1119342958      94803364  
  440   3.1    0                  1119342958      94803364  
  441   3.1    0                  1119342958      94803364  
  442   3.1    0                  1119342958      94803364  
  443   3.1    0                  1119342958      94803364  
  444   3.1    0                  1119342958      94803364  
  445   3.1    0                  1119342958      94803364  
  446   3.1    0                  1119342958      94803364  
  447   3.1    0                  1119342958      94803364  
  448   3.1    0                  1119342958      94803364  
  449   3.1    0                  1119342958      94803364  
  450   3.1    0                  1119342958      94803364  
  451   3.1    0                  1119342958      94803364  
  452   3.1    0                  1119342958      94803364  
  453   3.1    0                  1119342958      94803364  
  454   3.1    0                  1119342958      94803364  
  455   3.1    0                  1119342958      94803364  
  456   3.1    0                  1119342958      94803364  
  457   3.1    0                  1119342958      94803364  
  458   3.1    285                1119343243      94803364  
  459   3.1    0                  1119343243      94803364  
  460   3.1    0                  1119343243      94803364  
  461   3.1    0                  1119343243      94803364  
  462   3.1    0                  1119343243      94803364  
  463   3.1    0                  1119343243      94803364  
  464   3.1    0                  1119343243      94803364  
  465   3.1    0                  1119343243      94803364  
